vol_id,mimetype,extension,asset_type,n_files,tot_size,tot_dur,duration
1041,video/mp4,mp4,MPEG-4 video,8,2027201229,8942459,NA
1041,application/pdf,pdf,Portable document,1,1910084,0,NA
1041,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx,Microsoft Word (Office Open XML) document,2,4236354,0,NA
1041,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,Microsoft Excel (Office Open XML) workbook,5,274678,0,NA
1041,application/vnd.datavyu,opf,Datavyu,4,8028,0,NA
