vol_id,mimetype,extension,asset_type,n_files,tot_size,tot_dur,duration
184,video/mp4,mp4,MPEG-4 video,162,36749480322,124586363,NA
184,audio/mpeg,mp3,MPEG-1 or MPEG-2 audio layer III,2,0,1993560,NA
