vol_id,mimetype,extension,asset_type,n_files,tot_size,tot_dur,duration
666,video/mp4,mp4,MPEG-4 video,44,46071708902,160385412,NA
666,audio/mpeg,mp3,MPEG-1 or MPEG-2 audio layer III,43,13159546633,2221779384,NA
