vol_id,mimetype,extension,asset_type,n_files,tot_size,tot_dur,duration
669,video/mp4,mp4,MPEG-4 video,44,43520983091,154475501,NA
669,audio/mpeg,mp3,MPEG-1 or MPEG-2 audio layer III,44,12906776868,2173260204,NA
