vol_id,mimetype,extension,asset_type,n_files,tot_size_gb,tot_dur_hrs
954,text/csv,csv,Comma-separated values,17,2.161533203125e-4,0
954,video/mp4,mp4,MPEG-4 video,97,108.31622316015626,43.07553333333333
