vol_id,mimetype,extension,asset_type,n_files,tot_size_gb,tot_dur_hrs
1216,application/vnd.datavyu,opf,Datavyu,17,7.497802734375e-4,0
1216,text/csv,csv,Comma-separated values,1,1.9451171875e-5,0
1216,text/plain,txt,Plain text,1,3.38671875e-6,0
