session_id,session_name,session_date,session_release,condition_name,group_name,vol_id
37979,Day 2,2019-XX-XX,PRIVATE,Physical,Agnor-Hurt,922
37981,Day 2,2019-XX-XX,PRIVATE,Digital,Agnor-Hurt,922
