session_id,session_name,session_date,session_release,vol_id
56655,P01,NA,SHARED,1392
56656,P02,NA,SHARED,1392
56657,P03,NA,SHARED,1392
56658,P04,NA,SHARED,1392
56659,P05,NA,SHARED,1392
56660,P06,NA,SHARED,1392
56699,P07,NA,SHARED,1392
56700,P08,NA,SHARED,1392
56701,P09,NA,SHARED,1392
56702,P10,NA,SHARED,1392
56703,P11,NA,SHARED,1392
56704,P12,NA,SHARED,1392
56705,P13,NA,SHARED,1392
56706,P14,NA,SHARED,1392
56707,P15,NA,SHARED,1392
56708,P16,NA,SHARED,1392
56709,P17,NA,SHARED,1392
56710,P18,NA,SHARED,1392
56711,P19,NA,SHARED,1392
56712,P20,NA,SHARED,1392
56713,P21,NA,SHARED,1392
56714,demographics,materials,NA,1392
56715,data annotation,materials,NA,1392
