session_id,session_name,session_date,session_release,vol_id
35764,Angry,materials,NA,874
35766,Disgusted,materials,NA,874
35768,Fearful,materials,NA,874
35769,Happy,materials,NA,874
35770,Sad,materials,NA,874
35771,Surprised,materials,NA,874
35772,Affectionate,materials,NA,874
35773,Attracted,materials,NA,874
35774,Betrayed,materials,NA,874
35775,Brokenhearted,materials,NA,874
35776,Contemptuous,materials,NA,874
35777,Desirous,materials,NA,874
35778,Flirtatious,materials,NA,874
35779,Jealous,materials,NA,874
35780,Lovesick,materials,NA,874
35782,Stimulus Information,materials,NA,874
38486,Sample Stimuli,materials,NA,874
