session_id,session_name,session_date,session_release,vol_id
38098,Images,materials,NA,929
38100,Davida Fromm (CMU),materials,NA,929
38101,Jamila Minga,materials,NA,929
38102,Brian MacWhinney (CMU),materials,NA,929
38103,Nan Bernstein Ratner (U Maryland),materials,NA,929
38105,John Kowalski (CMU),materials,NA,929
38106,Alejandrina Cristia (CNRS),materials,NA,929
38107,Mark VanDam & Anne Warlaumont,materials,NA,929
38111,Rick Gilmore (Penn State),materials,NA,929
38112,Michael C. Frank (Stanford),materials,NA,929
38113,Yvan Rose (Memorial University of Newfoundland),materials,NA,929
38114,Michelle Bourgeois (University of South Florida),materials,NA,929
38115,Catherine Snow (Harvard University),materials,NA,929
38117,"Annick De Houwer (Universität Erfurt, Germany)",materials,NA,929
38119,Elena Lieven (U Manchester),materials,NA,929
38120,Kenji Sagae (UC Davis),materials,NA,929
38121,Morten H. Christiansen (Cornell U),materials,NA,929
38122,Leanne Togher (University of Sydney),materials,NA,929
38123,Florian Metze (CMU),materials,NA,929
38124,William O'Grady (U Hawaii),materials,NA,929
38125,Adele E. Goldberg (Princeton U),materials,NA,929
38126,Maryellen C. MacDonald (U Wisconsin-Madison),materials,NA,929
38127,Ping Li (Penn State),materials,NA,929
38128,James R. Booth (Vanderbilt),materials,NA,929
38129,Arturo E. Hernandez (U Houston),materials,NA,929
38130,Catherine Caldwell-Harris (Boston U),materials,NA,929
38131,Patricia Brooks (CUNY),materials,NA,929
38132,Vera Kempe (Abertay University),materials,NA,929
38133,Janet McDonald (Louisiana State U),materials,NA,929
38134,Roman Taraban (Texas Tech University),materials,NA,929
38135,Edward Gibson (MIT),materials,NA,929
38136,Nick Ellis (University of Michigan),materials,NA,929
