session_id,session_name,session_date,session_release,vol_id
46416,A,NA,SHARED,1174
46642,B,NA,SHARED,1174
46643,C,NA,SHARED,1174
46644,a,NA,SHARED,1174
46645,b,NA,SHARED,1174
46646,c,NA,SHARED,1174
46649,d,NA,SHARED,1174
46651,e,NA,SHARED,1174
46652,f,NA,SHARED,1174
46655,g,NA,SHARED,1174
46656,h,NA,SHARED,1174
46658,i,NA,SHARED,1174
46659,j,NA,SHARED,1174
46677,k,NA,SHARED,1174
46678,l,NA,SHARED,1174
46760,n,NA,SHARED,1174
53939,D,NA,SHARED,1174
53940,E,NA,SHARED,1174
54233,F,NA,SHARED,1174
54303,G,NA,SHARED,1174
54304,H,NA,SHARED,1174
58285,I,NA,SHARED,1174
58286,I,materials,NA,1174
58287,J,NA,SHARED,1174
58288,J,materials,NA,1174
58289,K,NA,SHARED,1174
58290,K,materials,NA,1174
58291,L,NA,SHARED,1174
58295,L,materials,NA,1174
58296,M,NA,SHARED,1174
58297,M,materials,NA,1174
58298,N,NA,SHARED,1174
58299,N,materials,NA,1174
58300,O,NA,SHARED,1174
59178,NA,materials,NA,1174
59187,P,NA,SHARED,1174
59810,Q,NA,SHARED,1174
59811,R,NA,SHARED,1174
59812,R,materials,NA,1174
59940,S,NA,SHARED,1174
60590,S,materials,NA,1174
60591,T,NA,SHARED,1174
60592,T,materials,NA,1174
60593,U,NA,SHARED,1174
60594,U,materials,NA,1174
60595,V,NA,SHARED,1174
60596,V,materials,NA,1174
60597,W,NA,SHARED,1174
60598,W,materials,NA,1174
60599,X,NA,SHARED,1174
60600,X,materials,NA,1174
60601,Y,NA,SHARED,1174
60602,Z,NA,SHARED,1174
60603,Z,materials,NA,1174
60604,A2,NA,SHARED,1174
60605,A2,materials,NA,1174
60606,B2,NA,SHARED,1174
60619,B2,materials,NA,1174
