session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,exclusion_reason,group_name,task1_name,task1_description,task2_name,task2_description,task3_name,task3_description,task4_name,task4_description,task5_name,task5_description,task6_name,task6_description,task7_name,task7_description,task8_name,task8_description,context_setting,context_language,context_country,context_state,vol_id
42466,NA,2014-08-07,SHARED,832104,2013-06-28,Female,NA,Hispanic or Latino,typical,spanish,NA,13 mos,background,NA,free play,NA,background,NA,feeding,NA,background,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42467,NA,2014-09-15,SHARED,832111,2013-06-07,Female,NA,Hispanic or Latino,typical,spanish,NA,15 mos,background,NA,free play,NA,background,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42468,NA,2014-09-22,EXCERPTS,832137,2013-08-06,Male,NA,Hispanic or Latino,typical,spanish,NA,13 mos,background,NA,free play,NA,background,NA,background,NA,background,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42469,NA,2014-10-30,SHARED,832149,2013-09-24,Female,NA,Hispanic or Latino,typical,spanish,NA,13 mos,background,NA,gait,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42473,NA,2013-10-11,EXCERPTS,896,2012-08-22,Female,White,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42475,NA,2015-02-02,EXCERPTS,8969,2013-06-22,Female,White,Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42476,NA,2014-05-19,EXCERPTS,832002,2012-10-19,Female,NA,Hispanic or Latino,typical,English,Did not fall,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42477,NA,2014-05-20,EXCERPTS,832024,2012-10-23,Male,NA,Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42478,NA,2014-07-22,EXCERPTS,832059,2012-12-12,Male,NA,Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42479,NA,2014-07-21,EXCERPTS,832105,2013-06-12,Male,NA,Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42480,NA,2014-09-24,EXCERPTS,832172,2013-08-13,Male,More than one,Hispanic or Latino,typical,English,NA,13 mos,background,NA,background,NA,gait,NA,feeding,NA,background,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42481,NA,2013-XX-XX,NA,8914,NA,Male,White,Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42482,NA,2014-05-12,EXCERPTS,8937,2012-09-29,Male,White,Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42483,NA,2014-10-06,SHARED,8945,2013-07-22,Female,White,Hispanic or Latino,typical,English,NA,15 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42484,NA,2014-03-25,EXCERPTS,892,2012-09-05,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42485,NA,2014-03-10,EXCERPTS,893,2012-08-22,Female,NA,NA,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42486,NA,2013-XX-XX,PRIVATE,8910,NA,Female,More than one,Not Hispanic or Latino,typical,English,NA,19 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42487,NA,2013-10-21,EXCERPTS,8911,2012-03-11,Male,White,Not Hispanic or Latino,typical,English,Did not fall,19 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42488,NA,2013-10-24,EXCERPTS,8912,2012-03-23,Male,Black or African American,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42489,NA,2013-10-25,SHARED,8913,2012-03-17,Female,Black or African American,Not Hispanic or Latino,typical,English,Did not fall,19 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42490,NA,2013-11-04,EXCERPTS,8916,2012-09-17,Female,White,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42491,NA,2013-XX-XX,PRIVATE,8918,NA,Male,White,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42492,NA,2013-12-16,SHARED,8921,2012-10-23,Female,White,Not Hispanic or Latino,typical,English,NA,13 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42493,NA,2013-12-19,EXCERPTS,8922,2012-05-22,Female,More than one,Not Hispanic or Latino,typical,English,NA,19 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42494,NA,2014-01-27,EXCERPTS,8923,2012-06-30,Female,More than one,Not Hispanic or Latino,typical,English,Did not fall,19 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42495,NA,2014-01-30,EXCERPTS,8924,2012-07-14,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
