session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,group_name,context_setting,context_language,context_country,context_state,vol_id
51661,15 mos,2014-08-21,EXCERPTS,2108,2013-05-02,Male,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51662,15 mos,2014-09-15,SHARED,2111,2013-06-07,Female,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51663,19 mos,2015-02-26,EXCERPTS,2112,2013-07-23,Female,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51664,15 mos,2014-11-18,EXCERPTS,2130,2013-08-18,Female,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51665,13 mos,2014-09-22,EXCERPTS,2137,2013-08-06,Male,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51666,13 mos,2014-10-30,SHARED,2149,2013-09-24,Female,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51667,15 mos,2014-12-08,EXCERPTS,2152,2013-09-09,Male,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51668,13 mos,2014-09-24,EXCERPTS,2172,2013-08-13,Male,More than one,Hispanic or Latino,typical,English,Bellevue,Lab,English,US,NA,1273
51669,13 mos,2014-XX-XX,PRIVATE,2203,NA,Female,More than one,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51670,13 mos,2015-01-28,EXCERPTS,2215,2013-12-19,Female,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51671,15 mos,2015-04-27,EXCERPTS,2226,2013-12-29,Female,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51672,13 mos,2015-04-27,EXCERPTS,2281,2014-04-03,Male,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51673,13 mos,2015-05-11,EXCERPTS,2299,2014-04-18,Male,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
51674,19 mos,2014-10-17,EXCERPTS,52,2013-03-28,Male,Unknown or not reported,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51675,19 mos,2014-XX-XX,PRIVATE,2076,NA,Male,Unknown or not reported,Hispanic or Latino,typical,Spanish,Bellevue,Lab,English,US,NA,1273
53530,Coding spreadsheets,materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273
53531,"Processed data, analysis scripts, and coding manual",materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273
55662,Onset ages intake script,materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273
