session_id,session_name,session_date,session_release,participant_ID,vol_id
27530,NA,NA,PRIVATE,MB_01,671
27531,NA,NA,PRIVATE,MB_02,671
27534,NA,NA,PRIVATE,MB_03,671
27535,NA,NA,EXCERPTS,MB_04,671
27536,NA,NA,EXCERPTS,MB_05,671
27537,NA,NA,EXCERPTS,MB_06,671
27538,NA,NA,EXCERPTS,MB_07,671
27539,NA,NA,EXCERPTS,MB_08,671
27540,NA,NA,SHARED,MB_09,671
27541,NA,NA,EXCERPTS,MB_10,671
27542,NA,NA,SHARED,MB_11,671
27543,NA,NA,EXCERPTS,MB_12,671
27544,NA,NA,EXCERPTS,MB_13,671
27545,NA,NA,SHARED,MB_14,671
27546,NA,NA,EXCERPTS,MB_15,671
27547,NA,NA,EXCERPTS,MB_16,671
27548,NA,NA,EXCERPTS,MB_17,671
27549,NA,NA,EXCERPTS,MB_18,671
27550,NA,NA,EXCERPTS,MB_19,671
27551,NA,NA,EXCERPTS,MB_20,671
27553,NA,NA,EXCERPTS,MB_21,671
27554,NA,NA,EXCERPTS,MB_22,671
27555,NA,NA,EXCERPTS,MB_23,671
27556,NA,NA,EXCERPTS,MB_24,671
27557,NA,NA,EXCERPTS,MB_25,671
27558,NA,NA,EXCERPTS,MB_26,671
27559,NA,NA,SHARED,MB_27,671
27560,NA,NA,EXCERPTS,MB_28,671
27561,NA,NA,EXCERPTS,MB_29,671
27562,NA,NA,PRIVATE,MB_30,671
27563,NA,NA,EXCERPTS,MB_31,671
27564,NA,NA,EXCERPTS,MB_32,671
27565,NA,NA,SHARED,MB_33,671
27566,NA,NA,EXCERPTS,MB_34,671
27567,NA,NA,EXCERPTS,MB_35,671
27568,NA,NA,SHARED,MB_36,671
27569,NA,NA,EXCERPTS,MB_37,671
