session_id,session_name,session_date,session_release,vol_id
11650,Chen Yu,2016-05-13,PRIVATE,237
11836,Peter Vishton,2016-06-07,PRIVATE,237
12573,Mike Frank,2016-06-27,PRIVATE,237
13190,Lana Karasik,2016-07-25,PRIVATE,237
13191,Dan Messinger,2016-07-26,PRIVATE,237
13192,Cathie Tamis-LeMonda,2016-07-28,PRIVATE,237
16410,Karen Adolph,2017-02-27,PRIVATE,237
16450,Rick Gilmore,2017-03-07,PRIVATE,237
16557,Cathie Tamis-LeMonda,2017-03-20,PRIVATE,237
16793,Lana Karasik,2017-03-31,PRIVATE,237
17256,Kathy Hirsh-Pasek,2017-04-25,PRIVATE,237
17257,Letty Naigles,2017-05-02,PRIVATE,237
17395,David Ackerman,2017-05-11,PRIVATE,237
17396,Anne Warlaumont,2017-05-18,PRIVATE,237
17438,Merce Crosas,2017-05-18,PRIVATE,237
17440,Lisa Oakes,2017-05-19,EXCERPTS,237
17633,Paul Horn,2017-05-25,PRIVATE,237
17634,Nora Newcombe,2017-05-30,PRIVATE,237
17775,Todd Gureckis,2017-06-01,PRIVATE,237
19248,Rachel Barr,2017-07-14,PRIVATE,237
19379,Russ Poldrack,2017-07-17,PRIVATE,237
