session_id,session_name,session_date,session_release,vol_id
16421,cm,materials,NA,324
16422,cmm,materials,NA,324
16423,p1,materials,NA,324
16424,p2,materials,NA,324
16425,p3,materials,NA,324
16426,p3m1,materials,NA,324
16427,p4,materials,NA,324
16428,p4g,materials,NA,324
16429,p4m,materials,NA,324
16430,p6,materials,NA,324
16431,p6m,materials,NA,324
16432,p31m,materials,NA,324
16433,pg,materials,NA,324
16434,pgg,materials,NA,324
16435,pm,materials,NA,324
16436,pmg,materials,NA,324
16437,pmm,materials,NA,324
