session_id,session_name,session_date,session_release,vol_id
9833,Habitual Crawler on Beach,materials,NA,16
19373,Turkish Family Sitting,materials,NA,16
19387,Turkish Family,materials,NA,16
19392,Turkish Family,materials,NA,16
19460,Turkish Family,materials,NA,16
19461,Turkish Family,materials,NA,16
19462,4- year- old bounding crawler,materials,NA,16
19463,Quadrupedal adolescent walking bipedally,materials,NA,16
19464,4 quadrupedal crawlers,materials,NA,16
19465,Quadrupedal crawler,materials,NA,16
19466,Quadrupedal crawlers walking bipedally,materials,NA,16
