"vol.id","session.id","asset.id","format","duration","permission","mimetype","extension"
1,6256,9826,-800,335883,5,"video/mp4","mp4"
1,6256,9828,-800,4425483,5,"video/mp4","mp4"
1,6256,9830,-800,4277835,5,"video/mp4","mp4"
1,6256,9832,-800,3107147,5,"video/mp4","mp4"
1,6257,9834,-800,4964011,5,"video/mp4","mp4"
1,6257,9836,-800,5043051,5,"video/mp4","mp4"
1,6257,9838,-800,3821387,5,"video/mp4","mp4"
1,6540,17737,-800,10976384,5,"video/mp4","mp4"
1,7821,17719,-800,3514603,5,"video/mp4","mp4"
1,7821,17723,-800,1594688,5,"video/mp4","mp4"
1,7821,17721,-800,3977558,5,"video/mp4","mp4"
1,7821,17725,-800,1920512,5,"video/mp4","mp4"
1,7821,17727,-800,2827904,5,"video/mp4","mp4"
1,8460,19919,-800,14939008,5,"video/mp4","mp4"
1,9578,28026,-800,3708160,5,"video/mp4","mp4"
1,9578,26448,-800,5477483,5,"video/mp4","mp4"
1,9578,28028,-800,2725723,5,"video/mp4","mp4"
1,9807,1,-800,40000,5,"video/mp4","mp4"
1,10068,28051,-800,2794880,5,"video/mp4","mp4"
1,10068,28053,-800,2387051,5,"video/mp4","mp4"
1,10068,28055,-800,2983616,5,"video/mp4","mp4"
1,10068,28062,-800,4835115,5,"video/mp4","mp4"
1,10991,37138,-800,3402326,5,"video/mp4","mp4"
1,10991,37130,-800,2450882,5,"video/mp4","mp4"
1,10991,37136,-800,3904128,5,"video/mp4","mp4"
1,11362,38643,-800,2760992,5,"video/mp4","mp4"
1,11362,38591,-800,2293056,5,"video/mp4","mp4"
1,11362,38593,-800,3676480,5,"video/mp4","mp4"
1,11362,38595,-800,2537494,5,"video/mp4","mp4"
1,11660,44774,-800,9728726,5,"video/mp4","mp4"
1,11886,46300,-800,13129280,5,"video/mp4","mp4"
1,14297,60542,-800,2058198,5,"video/mp4","mp4"
1,14297,60544,-800,2468587,5,"video/mp4","mp4"
1,14297,60546,-800,2002624,5,"video/mp4","mp4"
1,14297,60550,-800,3372779,5,"video/mp4","mp4"
1,14551,61222,-800,1939563,5,"video/mp4","mp4"
1,14551,61224,-800,1908544,5,"video/mp4","mp4"
1,15663,66015,-800,24567644,5,"video/mp4","mp4"
1,16104,68596,-800,2499595,5,"video/mp4","mp4"
1,16104,68598,-800,2857388,5,"video/mp4","mp4"
1,16104,68600,-800,2857722,5,"video/mp4","mp4"
1,16104,68584,-800,2096523,5,"video/mp4","mp4"
1,16891,73302,-800,2853384,5,"video/mp4","mp4"
1,16891,73306,-800,2859724,5,"video/mp4","mp4"
1,16891,73304,-800,798699,5,"video/mp4","mp4"
1,16891,73308,-800,2856387,5,"video/mp4","mp4"
1,16891,73310,-800,1435851,5,"video/mp4","mp4"
1,16894,73316,-800,2855887,5,"video/mp4","mp4"
1,17417,77809,-800,2853384,5,"video/mp4","mp4"
1,17417,77815,-800,2855220,5,"video/mp4","mp4"
1,17417,77811,-800,121547,5,"video/mp4","mp4"
1,17417,77813,-800,704538,5,"video/mp4","mp4"
1,17417,77817,-800,2037970,5,"video/mp4","mp4"
1,17417,77819,-800,743179,5,"video/mp4","mp4"
1,17886,80894,-800,1366382,5,"video/mp4","mp4"
1,17886,80896,-800,1368451,5,"video/mp4","mp4"
1,17886,80898,-800,1366949,5,"video/mp4","mp4"
1,17886,80950,-800,1346475,5,"video/mp4","mp4"
1,17886,79738,-800,4950334,5,"video/mp4","mp4"
1,17886,80952,-800,1366382,5,"video/mp4","mp4"
1,17886,80954,-800,1367450,5,"video/mp4","mp4"
1,17886,80958,-800,1101739,5,"video/mp4","mp4"
1,17886,80956,-800,1367934,5,"video/mp4","mp4"
1,17886,80960,-800,1374390,5,"video/mp4","mp4"
1,17886,80962,-800,1375775,5,"video/mp4","mp4"
1,17886,80964,-800,1251691,5,"video/mp4","mp4"
1,17886,84000,-800,14589934,5,"video/mp4","mp4"
1,25952,115751,-800,2179711,5,"video/mp4","mp4"
1,25952,115747,-800,2181547,5,"video/mp4","mp4"
1,25952,115743,-800,602027,5,"video/mp4","mp4"
1,25952,115745,-800,2180712,5,"video/mp4","mp4"
1,25952,115741,-800,2180546,5,"video/mp4","mp4"
1,25952,115753,-800,159595,5,"video/mp4","mp4"
1,25952,115739,-800,2180212,5,"video/mp4","mp4"
1,25952,115749,-800,504427,5,"video/mp4","mp4"
2,9,2,-800,633942,5,"video/mp4","mp4"
2,9,5,-800,634434,5,"video/mp4","mp4"
2,9,6,-800,380032,5,"video/mp4","mp4"
2,9,15,-800,378816,5,"video/mp4","mp4"
2,9,13,-800,177228,5,"video/mp4","mp4"
2,9,12,-800,175979,5,"video/mp4","mp4"
2,10,14,-800,252822,5,"video/mp4","mp4"
2,10,4,-800,253526,5,"video/mp4","mp4"
2,10,7,-800,217818,5,"video/mp4","mp4"
2,10,11,-800,216832,5,"video/mp4","mp4"
2,10,10,-800,67818,5,"video/mp4","mp4"
2,10,8,-800,67222,5,"video/mp4","mp4"
2,11,9,-800,662212,5,"video/mp4","mp4"
2,11,3,-800,662102,5,"video/mp4","mp4"
4,13,11806,-800,830897,3,"video/mp4","mp4"
4,13,30,-800,591124,3,"video/mp4","mp4"
4,14,25448,-800,919426,3,"video/mp4","mp4"
4,15,29,-800,483483,3,"video/mp4","mp4"
4,16,25449,-800,1004269,3,"video/mp4","mp4"
4,17,25450,-800,1188439,3,"video/mp4","mp4"
4,18,25451,-800,1412354,3,"video/mp4","mp4"
4,19,25452,-800,1326914,3,"video/mp4","mp4"
4,20,39,-800,759259,3,"video/mp4","mp4"
4,21,44,-800,547074,3,"video/mp4","mp4"
4,22,11801,-800,974162,3,"video/mp4","mp4"
4,23,47,-800,848348,3,"video/mp4","mp4"
4,25,11802,-800,1349882,3,"video/mp4","mp4"
4,25,26,-800,531543,3,"video/mp4","mp4"
4,26,35,-800,1114135,3,"video/mp4","mp4"
4,26,22,-800,252759,3,"video/mp4","mp4"
4,27,11803,-800,492066,3,"video/mp4","mp4"
4,27,41,-800,952471,3,"video/mp4","mp4"
4,28,11804,-800,1322855,3,"video/mp4","mp4"
4,29,27,-800,1092610,3,"video/mp4","mp4"
4,30,11805,-800,1225391,3,"video/mp4","mp4"
4,30,37,-800,422956,3,"video/mp4","mp4"
4,30,50,-800,1095106,3,"video/mp4","mp4"
4,32,102,-800,306950,3,"video/mp4","mp4"
4,34,9218,-800,392902,3,"video/mp4","mp4"
4,35,9220,-800,807658,3,"video/mp4","mp4"
4,36,9222,-800,542251,3,"video/mp4","mp4"
4,37,9224,-800,356065,3,"video/mp4","mp4"
4,39,9226,-800,226736,3,"video/mp4","mp4"
4,40,9228,-800,181291,3,"video/mp4","mp4"
4,42,61,-800,754447,3,"video/mp4","mp4"
4,43,65,-800,244580,3,"video/mp4","mp4"
4,44,107,-800,301414,3,"video/mp4","mp4"
4,45,63,-800,205000,3,"video/mp4","mp4"
4,47,69,-800,388310,3,"video/mp4","mp4"
4,48,91,-800,400576,3,"video/mp4","mp4"
4,49,100,-800,235310,3,"video/mp4","mp4"
4,52,9230,-800,344487,3,"video/mp4","mp4"
4,53,9232,-800,1061270,3,"video/mp4","mp4"
4,55,101,-800,409943,3,"video/mp4","mp4"
4,56,62,-800,365910,3,"video/mp4","mp4"
4,58,88,-800,342710,3,"video/mp4","mp4"
4,60,9234,-800,354834,3,"video/mp4","mp4"
4,61,9236,-800,404523,3,"video/mp4","mp4"
4,61,9238,-800,407296,3,"video/mp4","mp4"
4,62,83,-800,392800,3,"video/mp4","mp4"
4,63,86,-800,316443,3,"video/mp4","mp4"
4,64,104,-800,385343,3,"video/mp4","mp4"
4,65,9240,-800,305276,3,"video/mp4","mp4"
4,66,9246,-800,252811,3,"video/mp4","mp4"
