vol_id,mimetype,extension,asset_type,n_files,tot_size_gb,tot_dur_hrs
1257,application/pdf,pdf,Portable document,191,0,0
1257,application/vnd.ms-powerpoint,ppt,Microsoft PowerPoint presentation,2,0,0
1257,application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx,Microsoft PowerPoint (Office Open XML) presentation,6,0,0
1257,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx,Microsoft Word (Office Open XML) document,139,0,0
1257,audio/mpeg,mp3,MPEG-1 or MPEG-2 audio layer III,2,0,0.8208177777777778
1257,image/png,png,Portable network graphics,1,0,0
1257,text/rtf,rtf,Rich text format,104,0,0
1257,video/mp4,mp4,MPEG-4 video,367,0,220.12208805555557
