vol_id,mimetype,extension,asset_type,n_files,tot_size_gb,tot_dur_hrs
1397,text/csv,csv,Comma-separated values,13,2.00671875e-4,0
1397,video/mp4,mp4,MPEG-4 video,59,78.38643109277344,34.63646472222222
