inst_id,inst_name,inst_url,databrary_url,n_auth_invest,daa,lat,lon
174,Gallaudet University,https://my.gallaudet.edu/,https://nyu.databrary.org/party/174,4,TRUE,38.908422,-76.9923875
175,Albert Einstein College of Medicine,http://www.einstein.yu.edu/,https://nyu.databrary.org/party/175,0,TRUE,40.8521451,-73.8443938
176,Arizona State University,https://www.asu.edu/,https://nyu.databrary.org/party/176,8,TRUE,33.4242399,-111.9280527
177,Babes-Bolyai University,http://www.ubbcluj.ro/en/,https://nyu.databrary.org/party/177,3,TRUE,46.7677955,23.5912762
178,Boston College,https://www.bc.edu/,https://nyu.databrary.org/party/178,4,TRUE,42.3355488,-71.1684945
179,Boston University,https://www.bu.edu/,https://nyu.databrary.org/party/179,12,TRUE,42.3504997,-71.1053991
180,Bucknell University,http://www.bucknell.edu/,https://nyu.databrary.org/party/180,0,FALSE,40.9546869,-76.8835514
181,Columbia University,https://www.columbia.edu/,https://nyu.databrary.org/party/181,3,TRUE,40.8075355,-73.9625727
182,Cornell University,https://www.cornell.edu/,https://nyu.databrary.org/party/182,5,TRUE,42.4534492,-76.4735027
183,Dartmouth College,https://home.dartmouth.edu/,https://nyu.databrary.org/party/183,0,FALSE,43.7044406,-72.2886935
184,East Carolina University,https://www.ecu.edu/,https://nyu.databrary.org/party/184,1,TRUE,35.6055108,-77.3645653
185,East Tennessee State University,http://www.etsu.edu/ehome/,https://nyu.databrary.org/party/185,2,TRUE,36.3025374,-82.3701933
186,Emory University,http://www.emory.edu/home/index.html,https://nyu.databrary.org/party/186,6,TRUE,33.7925195,-84.3239989
187,Florida International University,https://www.fiu.edu/,https://nyu.databrary.org/party/187,3,TRUE,25.756576,-80.373949
188,George Mason University,https://www2.gmu.edu/,https://nyu.databrary.org/party/188,4,TRUE,38.8315541,-77.3120885
189,George Washington University,https://www.gwu.edu/,https://nyu.databrary.org/party/189,2,TRUE,38.8997145,-77.0485992
190,Harvard University,https://www.harvard.edu/,https://nyu.databrary.org/party/190,7,TRUE,42.3770029,-71.1166601
193,Johns Hopkins University,https://www.jhu.edu/,https://nyu.databrary.org/party/193,5,TRUE,39.3299013,-76.6205177
194,Lafayette College,https://www.lafayette.edu/,https://nyu.databrary.org/party/194,1,TRUE,40.6986202,-75.2087298
195,Massachusetts Institute of Technology,http://web.mit.edu/,https://nyu.databrary.org/party/195,5,TRUE,42.360091,-71.09416
196,Montclair State University,http://www.montclair.edu/,https://nyu.databrary.org/party/196,1,TRUE,40.8644792,-74.1985597
198,North Dakota State University,https://www.ndsu.edu/,https://nyu.databrary.org/party/198,1,TRUE,46.8977528,-96.8024367
199,Northeastern University,https://www.northeastern.edu/,https://nyu.databrary.org/party/199,7,TRUE,42.3398067,-71.0891717
201,Northwestern University,http://www.northwestern.edu/,https://nyu.databrary.org/party/201,12,TRUE,42.0564594,-87.675267
203,Ohio State University,https://www.osu.edu/,https://nyu.databrary.org/party/203,9,TRUE,40.0141905,-83.0309143
204,Ramapo College,NA,https://nyu.databrary.org/party/204,0,FALSE,41.0815079,-74.1746234
205,University of Rennes 2,https://www.univ-rennes2.fr/en,https://nyu.databrary.org/party/205,0,FALSE,48.1179154,-1.7028658
206,Sapienza University of Rome,http://en.uniroma1.it/,https://nyu.databrary.org/party/206,2,TRUE,41.9037626,12.5144384
207,Seton Hall University,https://www.shu.edu/,https://nyu.databrary.org/party/207,2,TRUE,40.743011,-74.2471001
208,Smith-Kettlewell Eye Research Institute,http://www.ski.org/,https://nyu.databrary.org/party/208,0,FALSE,37.7912559,-122.4341831
209,Southern Illinois University,NA,https://nyu.databrary.org/party/209,0,FALSE,37.7090577,-89.2249134
210,St Francis Xavier University,NA,https://nyu.databrary.org/party/210,0,FALSE,45.6177357,-61.9953941
211,"Teachers College, Columbia University",http://www.tc.columbia.edu/,https://nyu.databrary.org/party/211,2,TRUE,40.8101571,-73.9604571
212,Tufts University,https://www.tufts.edu/,https://nyu.databrary.org/party/212,1,TRUE,42.4074843,-71.1190232
213,University of Arizona,https://www.arizona.edu/,https://nyu.databrary.org/party/213,5,TRUE,32.2318851,-110.9501094
214,University of Bristol,NA,https://nyu.databrary.org/party/214,0,FALSE,51.4584172,-2.6029792
215,"University of British Columbia, Vancouver",https://www.ubc.ca/,https://nyu.databrary.org/party/215,12,TRUE,49.2606052,-123.2459938
216,"University of California, Davis",https://www.ucdavis.edu/,https://nyu.databrary.org/party/216,8,TRUE,38.5382322,-121.7617125
217,"University of California, Los Angeles",http://www.ucla.edu/,https://nyu.databrary.org/party/217,8,TRUE,34.068921,-118.4451811
218,"University of California, Santa Cruz",https://www.ucsc.edu/,https://nyu.databrary.org/party/218,4,TRUE,36.9880503,-122.0582093
219,University of Cleveland,NA,https://nyu.databrary.org/party/219,0,FALSE,41.5024973,-81.6747185
220,University of Connecticut,https://uconn.edu/,https://nyu.databrary.org/party/220,7,TRUE,41.8077414,-72.2539805
221,University of Denver,https://www.du.edu/,https://nyu.databrary.org/party/221,3,TRUE,39.6766174,-104.9618965
222,University of Houston,http://www.uh.edu/,https://nyu.databrary.org/party/222,4,TRUE,29.7199489,-95.3422334
223,University of Illinois,NA,https://nyu.databrary.org/party/223,0,FALSE,40.1019523,-88.2271615
224,University of Illinois at Chicago,NA,https://nyu.databrary.org/party/224,1,TRUE,41.8704497,-87.6674854
225,University of Iowa,https://uiowa.edu/,https://nyu.databrary.org/party/225,13,TRUE,41.6626963,-91.5548998
226,University of Louisville,http://louisville.edu/,https://nyu.databrary.org/party/226,3,TRUE,38.2122761,-85.7585023
227,"University of Massachusetts, Amherst",https://www.umass.edu/,https://nyu.databrary.org/party/227,7,TRUE,42.3867598,-72.5300515
228,University of Minnesota,https://twin-cities.umn.edu/,https://nyu.databrary.org/party/228,5,TRUE,44.97399,-93.2277285
229,"University of Missouri, Kansas City",https://www.umkc.edu/,https://nyu.databrary.org/party/229,1,TRUE,39.0346733,-94.5785312
230,University of Nebraska,NA,https://nyu.databrary.org/party/230,0,FALSE,40.8201966,-96.7004763
231,University of North Carolina,https://www.unc.edu/,https://nyu.databrary.org/party/231,0,FALSE,35.9049122,-79.0469134
232,University of Otago,http://www.otago.ac.nz/,https://nyu.databrary.org/party/232,2,TRUE,-45.8646835,170.5144227
233,University of Queensland,NA,https://nyu.databrary.org/party/233,1,TRUE,-27.4975028,153.0136905
234,University of South Carolina,https://www.sc.edu/,https://nyu.databrary.org/party/234,2,TRUE,33.996112,-81.0274276
235,University of Tennessee,https://www.utk.edu/,https://nyu.databrary.org/party/235,3,TRUE,35.9544013,-83.9294564
236,University of Toronto,https://www.utoronto.ca/,https://nyu.databrary.org/party/236,20,TRUE,43.6628917,-79.3956564
237,University of Washington,https://www.washington.edu/,https://nyu.databrary.org/party/237,5,TRUE,47.6553351,-122.3035199
238,University of Western Sydney,NA,https://nyu.databrary.org/party/238,0,FALSE,-33.8757124,151.2092036
239,Uppsala University,https://www.uu.se/en/,https://nyu.databrary.org/party/239,4,TRUE,59.8509005,17.6300093
240,Virginia Commonwealth University,https://www.vcu.edu/,https://nyu.databrary.org/party/240,4,TRUE,37.5488396,-77.4527272
241,"Washington University, St Louis",https://wustl.edu/,https://nyu.databrary.org/party/241,3,TRUE,38.6487895,-90.3107962
242,Whitman College,https://www.whitman.edu/,https://nyu.databrary.org/party/242,1,TRUE,46.0705799,-118.3306351
243,Université de Bretagne Sud,NA,https://nyu.databrary.org/party/243,0,FALSE,47.6453264,-2.7471199
281,Utrecht University,https://www.uu.nl/en,https://nyu.databrary.org/party/281,5,TRUE,52.0901527,5.1226018
295,Liverpool University,NA,https://nyu.databrary.org/party/295,0,FALSE,53.4047824,-2.965299
308,Staff,NA,https://nyu.databrary.org/party/308,4,TRUE,NA,NA
312,National Institute on Deafness and Communication Disorders,NA,https://nyu.databrary.org/party/312,0,FALSE,39.0027771,-77.1044597
317,"University of Colorado, Boulder",https://www.colorado.edu/,https://nyu.databrary.org/party/317,4,TRUE,40.007581,-105.2659417
